word,part_of_speech,target,polarity_n0,polarity_n1,anotation
à-vontade,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
abafado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abafante,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abaixado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abalado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abalizado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
abalroado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abalroar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
abanar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
abandalhado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abandalhamento,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abandonado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abandonar,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
abarcante,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
abarrotado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abastado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
abastecido,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
abater,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
abatido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abelhudo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abençoado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
aberração,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
aberrante,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
aberrativo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
aberto,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
abespinhado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abestalhado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abilolado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abjeção,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abjecção,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abjecto,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abjeto,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abnegado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
abobado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abobalhado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abolicionista,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
abolido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abominador,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abominando,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abominar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=-1,ANOT=MAN
abominável,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abonado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
abonatório,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
abonecado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
aborrecer-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
aborrecer,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
aborrecido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abortado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abraçado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
abrasileirado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
abrigado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
abrilhantado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
abrir a alma,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
abrir o coração,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
abrir os olhos,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
abrupto,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abrutalhado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
absentista,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
absolutista,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
absoluto,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
absolvido,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
absorvente,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
abstémico,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
abstémio,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
abstencionista,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
abstinente,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
abstracto,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abstraído,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abstrato,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abstrusidade,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abstruso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
absurdo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abulia,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abúlico,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
aburguesado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
abusado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
abusador,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
abusar,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
abusivo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acabado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acabadote,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acabrunhado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acaciano,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
