word;polarity_n0;polarity_n1
à-vontade;POL:N0=1;
abafado;POL:N0=-1;
abafante;POL:N0=-1;
abaixado;POL:N0=-1;
abalado;POL:N0=-1;
abalizado;POL:N0=1;
abalroado;POL:N0=-1;
abalroar;POL:N0=1;POL:N1=-1
abanar;POL:N0=1;POL:N1=-1
abandalhado;POL:N0=-1;
abandalhamento;POL:N0=-1;
abandonado;POL:N0=-1;
abandonar;POL:N0=-1;POL:N1=0
abarcante;POL:N0=0;
abarrotado;POL:N0=-1;
abastado;POL:N0=1;
abastecido;POL:N0=0;
abater;POL:N0=1;POL:N1=-1
abatido;POL:N0=-1;
abelhudo;POL:N0=-1;
abençoado;POL:N0=1;
aberração;POL:N0=-1;
aberrante;POL:N0=-1;
aberrativo;POL:N0=-1;
aberto;POL:N0=1;
abespinhado;POL:N0=-1;
abestalhado;POL:N0=-1;
abilolado;POL:N0=-1;
abjeção;POL:N0=-1;
abjecção;POL:N0=-1;
abjecto;POL:N0=-1;
abjeto;POL:N0=-1;
abnegado;POL:N0=1;
abobado;POL:N0=-1;
abobalhado;POL:N0=-1;
abolicionista;POL:N0=0;
abolido;POL:N0=-1;
abominador;POL:N0=-1;
abominando;POL:N0=-1;
abominar;POL:N0=0;POL:N1=-1
abominável;POL:N0=-1;
abonado;POL:N0=1;
abonatório;POL:N0=1;
abonecado;POL:N0=0;
aborrecer-se;POL:N0=-1;
aborrecer;POL:N0=1;POL:N1=-1
aborrecido;POL:N0=-1;
abortado;POL:N0=-1;
abraçado;POL:N0=1;
abrasileirado;POL:N0=0;
abrigado;POL:N0=0;
abrilhantado;POL:N0=1;
abrir a alma;POL:N0=1;
abrir o coração;POL:N0=1;
abrir os olhos;POL:N0=1;
abrupto;POL:N0=-1;
abrutalhado;POL:N0=-1;
absentista;POL:N0=-1;
absolutista;POL:N0=0;
absoluto;POL:N0=0;
absolvido;POL:N0=0;
absorvente;POL:N0=1;
abstémico;POL:N0=1;
abstémio;POL:N0=1;
abstencionista;POL:N0=0;
abstinente;POL:N0=0;
abstracto;POL:N0=-1;
abstraído;POL:N0=-1;
abstrato;POL:N0=-1;
abstrusidade;POL:N0=-1;
abstruso;POL:N0=-1;
absurdo;POL:N0=-1;
abulia;POL:N0=-1;
abúlico;POL:N0=-1;
aburguesado;POL:N0=0;
abusado;POL:N0=-1;
abusador;POL:N0=-1;
abusar;POL:N0=-1;POL:N1=0
abusivo;POL:N0=-1;
acabado;POL:N0=-1;
acabadote;POL:N0=-1;
acabrunhado;POL:N0=-1;
acaciano;POL:N0=-1;
acadêmico;POL:N0=0;
acalorado;POL:N0=0;
açambarcador;POL:N0=-1;
acanhado;POL:N0=-1;
acanhamento;POL:N0=-1;
acanhar-se;POL:N0=-1;
acatado;POL:N0=1;
acatador;POL:N0=0;
acautelado;POL:N0=0;
acéfalo;POL:N0=-1;
aceitável;POL:N0=1;
aceite;POL:N0=0;
aceito;POL:N0=0;
acelerado;POL:N0=0;
acentuado;POL:N0=0;
acerado;POL:N0=-1;
acerbidade;POL:N0=-1;
acerbo;POL:N0=-1;
acérrimo;POL:N0=-1;
acertado;POL:N0=1;
acertar na mosca;POL:N0=1;
acertar na mouche;POL:N0=1;
aceso;POL:N0=0;
acessível;POL:N0=1;
achacado;POL:N0=-1;
achado;POL:N0=0;
achar piada a;POL:N0=0;POL:N1=1
achatado;POL:N0=-1;
achegado;POL:N0=1;
achincalhar;POL:N0=-1;POL:N1=-1
achinesado;POL:N0=0;
acidentado;POL:N0=-1;
aciganado;POL:N0=-1;
acintoso;POL:N0=-1;
acirrado;POL:N0=-1;
aclamado;POL:N0=0;
aclamar;POL:N0=0;POL:N1=1
acobardado;POL:N0=-1;
acobardar-se;POL:N0=-1;
acobertado;POL:N0=-1;
acobreado;POL:N0=0;
acocado;POL:N0=-1;
açoitado;POL:N0=-1;
acolhedor;POL:N0=1;
acolhido;POL:N0=0;
acomodadiço;POL:N0=-1;
acomodar-se;POL:N0=-1;
acomodatício;POL:N0=0;
acompanhado;POL:N0=0;
acompanhador;POL:N0=0;
acompanhante;POL:N0=0;
aconchegado;POL:N0=1;
acordado;POL:N0=0;
acordar com o rabo para o ar;POL:N0=-1;
acordar com os pés de fora;POL:N0=-1;
acorrentado;POL:N0=-1;
acorrentar-se;POL:N0=-1;
acorrentar;POL:N0=1;POL:N1=-1
acossado;POL:N0=-1;
acossar;POL:N0=1;POL:N1=-1
acostumado;POL:N0=0;
acotovelar;POL:N0=0;POL:N1=-1
açougueiro;POL:N0=-1;
acre;POL:N0=-1;
acreditado;POL:N0=1;
acreditar;POL:N0=0;POL:N1=1
acriançado;POL:N0=-1;
acrisolado;POL:N0=0;
acrítico;POL:N0=-1;
activo;POL:N0=1;
actualista;POL:N0=0;
acudir;POL:N0=1;POL:N1=0
aculturado;POL:N0=-1;
acurado;POL:N0=1;
acusado;POL:N0=-1;
acusar;POL:N0=0;POL:N1=-1
acutilante;POL:N0=-1;
adâmico;POL:N0=-1;
adaptado;POL:N0=0;
adepto;POL:N0=1;
adequado;POL:N0=1;
adestrado;POL:N0=1;
adicional;POL:N0=0;
adiposo;POL:N0=-1;
adjacente;POL:N0=0;
administrado;POL:N0=0;
admirar;POL:N0=0;POL:N1=1
admirável;POL:N0=1;
admitido;POL:N0=0;
admoestador;POL:N0=-1;
adoentado;POL:N0=-1;
adorado;POL:N0=1;
adorando;POL:N0=1;
adorar;POL:N0=0;POL:N1=1
adorável;POL:N0=1;
adormecido;POL:N0=-1;
adulador;POL:N0=-1;
adulterador;POL:N0=-1;
adulterino;POL:N0=-1;
adultério;POL:N0=-1;
adúltero;POL:N0=-1;
adulto;POL:N0=0;
adventista;POL:N0=0;
adverso;POL:N0=-1;
aéreo;POL:N0=-1;
afabilidade;POL:N0=1;
afamado;POL:N0=1;
afanado;POL:N0=-1;
afasia;POL:N0=-1;
afásico;POL:N0=-1;
afastar;POL:N0=0;POL:N1=-1
afável;POL:N0=1;
afectado;POL:N0=-1;
afectar;POL:N0=0;POL:N1=-1
afectividade;POL:N0=1;
afectivo;POL:N0=1;
afecto;POL:N0=1;
afectuoso;POL:N0=1;
afeiçoado;POL:N0=1;
afeito;POL:N0=0;
afeminado;POL:N0=-1;
aferido;POL:N0=0;
aferrado;POL:N0=0;
afetado;POL:N0=-1;
afetividade;POL:N0=1;
afetivo;POL:N0=1;
afeto;POL:N0=1;
afetuoso;POL:N0=1;
afiado;POL:N0=-1;
